date,time,value
2021-02-26,13:21:12,11.5
2021-02-26,13:27:15,11.4000005722046
2021-02-26,13:46:50,11.3000001907349
2021-02-26,13:51:45,11.4000005722046
2021-02-26,13:52:55,11.3000001907349
2021-02-26,14:01:24,11.4000005722046
2021-02-26,14:02:37,11.3000001907349
2021-02-26,14:08:39,11.4000005722046
2021-02-26,14:21:46,11.3000001907349
2021-02-26,14:22:57,11.4000005722046
2021-02-26,14:24:07,11.3000001907349
2021-02-26,14:27:47,11.1999998092651
2021-02-26,14:30:19,11.3000001907349
2021-02-26,14:31:29,11.1999998092651
2021-02-26,14:32:40,11.3000001907349
2021-02-26,14:33:48,11.1999998092651
2021-02-26,14:47:04,11.3000001907349
2021-02-26,14:48:18,11.1999998092651
2021-02-26,14:50:46,11.1000003814697
2021-02-26,14:55:47,11
2021-02-26,14:58:12,10.9000005722046
2021-02-26,14:59:26,11
2021-02-26,15:00:38,10.9000005722046
2021-02-26,15:01:48,11
2021-02-26,15:04:16,10.9000005722046
2021-02-26,15:09:10,10.8000001907349
2021-02-26,15:16:32,10.6999998092651
2021-02-26,15:19:01,10.8000001907349
2021-02-26,15:21:28,10.6999998092651
2021-02-26,15:23:52,10.6000003814697
2021-02-26,15:27:35,10.5
2021-02-26,15:32:32,10.4000005722046
2021-02-26,15:36:13,10.3000001907349
2021-02-26,15:41:05,10.1999998092651
2021-02-26,15:44:42,10.1000003814697
2021-02-26,15:45:56,10.1999998092651
2021-02-26,15:47:06,10.1000003814697
2021-02-26,15:49:31,10
2021-02-26,15:55:28,9.90000057220459
2021-02-26,16:00:08,9.80000019073486
2021-02-26,16:03:38,9.69999980926514
2021-02-26,16:05:59,9.60000038146973
2021-02-26,16:09:29,9.5
2021-02-26,16:13:10,9.40000057220459
2021-02-26,16:16:54,9.30000019073486
2021-02-26,16:19:22,9.19999980926514
2021-02-26,16:21:52,9.10000038146973
2021-02-26,16:24:17,9
2021-02-26,16:27:53,8.90000057220459
2021-02-26,16:30:15,8.80000019073486
2021-02-26,16:43:35,8.69999980926514
2021-02-26,16:46:00,8.60000038146973
2021-02-26,16:49:36,8.5
2021-02-26,16:54:19,8.40000057220459
2021-02-26,16:56:44,8.30000019073486
2021-02-26,16:59:09,8.19999980926514
2021-02-26,17:01:30,8.10000038146973
2021-02-26,17:02:43,8.19999980926514
2021-02-26,17:12:09,8.10000038146973
2021-02-26,17:18:11,8.19999980926514
2021-02-26,17:19:23,8.10000038146973
2021-02-26,17:20:34,8.30000019073486
2021-02-26,17:21:44,8.19999980926514
2021-02-26,17:26:30,8.10000038146973
2021-02-26,17:31:10,8
2021-02-26,17:35:58,7.90000009536743
2021-02-26,17:39:33,8
2021-02-26,17:47:51,7.90000009536743
2021-02-26,17:51:31,7.80000019073486
2021-02-26,17:52:43,7.90000009536743
2021-02-26,17:55:12,8
2021-02-26,18:01:27,7.90000009536743
2021-02-26,18:07:33,7.80000019073486
2021-02-26,18:08:48,7.70000028610229
2021-02-26,18:11:13,7.59999990463257
2021-02-26,18:12:27,7.70000028610229
2021-02-26,18:13:40,7.59999990463257
2021-02-26,18:22:12,7.5
2021-02-26,18:27:11,7.40000009536743
2021-02-26,18:29:39,7.30000019073486
2021-02-26,18:30:54,7.40000009536743
2021-02-26,18:32:07,7.30000019073486
2021-02-26,18:35:50,7.20000028610229
2021-02-26,18:41:43,7.09999990463257
2021-02-26,18:44:06,7
2021-02-26,18:47:42,6.90000009536743
2021-02-26,18:50:04,6.80000019073486
2021-02-26,18:55:03,6.70000028610229
2021-02-26,18:57:29,6.59999990463257
2021-02-26,18:58:40,6.5
2021-02-26,19:01:09,6.40000009536743
2021-02-26,19:03:36,6.5
2021-02-26,19:08:31,6.40000009536743
2021-02-26,19:09:45,6.5
2021-02-26,19:14:32,6.59999990463257
2021-02-26,19:19:16,6.5
2021-02-26,19:21:44,6.40000009536743
2021-02-26,19:22:57,6.30000019073486
2021-02-26,19:24:09,6.20000028610229
2021-02-26,19:27:50,6.09999990463257
2021-02-26,19:30:16,6
2021-02-26,19:35:08,5.90000009536743
2021-02-26,19:44:42,6
2021-02-26,19:47:08,5.70000028610229
2021-02-26,19:49:31,5.5
2021-02-26,19:50:43,5.40000009536743
2021-02-26,19:51:57,5.30000019073486
2021-02-26,19:53:10,5.09999990463257
2021-02-26,19:54:21,5
2021-02-26,19:55:31,4.90000009536743
2021-02-26,19:56:46,4.80000019073486
2021-02-26,19:58:00,4.70000028610229
2021-02-26,19:59:15,4.59999990463257
2021-02-26,20:00:27,4.5
2021-02-26,20:01:38,4.40000009536743
2021-02-26,20:04:04,4.30000019073486
2021-02-26,20:05:18,4.20000028610229
2021-02-26,20:06:33,4.09999990463257
2021-02-26,20:08:57,4
2021-02-26,20:15:07,3.90000009536743
2021-02-26,20:17:34,4
2021-02-26,20:18:46,3.90000009536743
2021-02-26,20:27:15,3.79999995231628
2021-02-26,20:28:25,3.70000004768372
2021-02-26,20:30:54,3.60000014305115
2021-02-26,20:34:31,3.5
